YEAR;Jan;Feb;MÃ¤r;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Jahr
1971;-2,2;-0,6;0,7;10,6;14,4;14,9;18,8;18,8;12,5;8,1;2,5;-0,2;8,2
1972;-0,8;4,6;7,2;8,1;12,4;15,9;16,8;17,1;11,1;6,7;2,5;-1,3;8,4
1973;-0,8;-1,2;2,4;5,8;14,1;16,5;16,9;18,9;14,7;7,3;2,4;-0,1;8,1
1974;1,9;3,8;7,3;8,3;12,3;14,7;17,4;18,5;13,9;5;4;0,9;9
1975;2;1,6;4,7;7,9;13,7;14,8;17,6;17,1;16,6;7,8;2,4;-2,3;8,7
1976;0,1;1,9;3,6;8,5;13,9;17,6;18,5;15,1;12,5;11,4;4,5;-3,2;8,7
1977;-0,5;3,2;7,8;7;13;16,7;17,4;16;12,7;10,9;3,5;0,1;9
1978;-0,9;-0,3;5,4;7,8;11,4;15,6;16,5;16,1;12,9;7,9;1,7;-0,3;7,8
1979;-3,3;2,1;6;6,8;12,9;16,2;16,6;16,3;13,9;10,9;1,8;1,8;8,5
1980;-3,1;2,8;5;5,9;11,5;14,9;16,2;18,6;14,7;7,8;1,6;-3,5;7,7
1981;-4,5;-2,5;6,8;10,2;13,4;17;16,8;17,3;14,9;9,1;2,1;-1,1;8,3
1982;-1,4;-0,4;4,1;7,6;13,8;17,3;19,4;17,4;16,5;9,8;5,6;0,5;9,2
1983;0,2;-2,1;5,5;10,3;12,9;16,9;21,2;18;14,2;9,5;2,7;-0,7;9,1
1984;-0,2;-1,9;2,8;7,8;11,9;15,5;17,9;17,2;12,5;10,2;5,9;0,2;8,3
1985;-5,7;-1;4;8,7;14,6;15;19,2;17,2;14,9;8,4;0,6;1,8;8,1
1986;-1,1;-3,4;4,6;8,9;15,6;16,5;17,7;18;14,2;9,9;4,1;-0,8;8,7
1987;-5,6;0,8;1,3;10;10,9;15,7;18,8;17;16,2;11;4,3;0,8;8,4
1988;2,8;1,1;3,2;10,4;14,9;15,9;19,4;17,9;13,6;11,5;0,9;0,6;9,4
1989;-0,7;3,2;7,9;9,5;13,5;14,5;17,9;17,7;14,2;9,3;2,6;-0,3;9,1
1990;-1,7;4;7,6;8,2;15,3;16,3;18,4;18,8;12,9;11,7;3,6;-2;9,4
1991;-0,3;-1,4;8,5;7,8;9,6;15,6;19,7;18,6;16,8;8,8;2,8;-2,3;8,7
1992;-1,9;1;5,1;8,7;15,4;17,1;19,8;21,4;15;8;4,7;-0,3;9,5
1993;1,3;-0,1;3,2;10,6;16,4;17,2;17,4;17,7;14;10;2,7;1,2;9,3
1994;2;2;9,5;8,6;14,4;17,4;20,9;19,7;15,2;9;7,6;0,5;10,6
1995;-1,7;3,6;3,7;9,3;14,6;14,7;20,9;17,3;12,7;11,5;3,1;-0,3;9,1
1996;0,6;-0,3;3,5;9,7;13,9;17,8;17,9;17,2;11,2;9,3;5;-1,4;8,7
1997;-0,8;2,7;6,6;7,2;14,5;17;16,9;19;15,5;9;5,3;2,7;9,6
1998;1,1;3,7;4,9;9,7;15,1;18;18,9;18,4;14;9,7;1,3;-0,9;9,5
1999;0,3;-1,7;6,1;9,7;15,4;16,1;18,9;18;16,4;10,7;1,8;-0,4;9,3
2000;-2,3;2,3;5,5;11,3;16,1;19;16,8;19,1;14,7;11,1;5,4;3,1;10,2
2001;0,7;2,6;7,8;7,6;16,6;15,7;19,1;19,8;11,5;12,3;1,9;-2,7;9,4
2002;-1,9;4,9;7,2;9,3;15,5;19,7;19,2;18,4;12,9;9,4;6,8;2,3;10,3
2003;-1,2;-2,1;6,4;9,3;16,2;21,5;20,1;21,8;14;6,9;5,6;1,1;10
2004;-0,8;1,2;4,7;10,2;12,6;16,7;18,8;19,5;14,9;11,9;2,9;-1,1;9,3
2005;-2,4;-1,6;4,9;10,2;15,2;18,5;18,5;16,4;15,7;10,1;2,8;-1,5;8,9
2006;-4,1;-0,8;3;10;14,3;17,8;22,2;15,8;17,5;12;5,4;0,8;9,5
2007;2,5;4,1;6,5;14;15,6;19;19,7;17,9;12,5;8,7;2,9;-0,6;10,2
2008;1,9;3,2;4,8;9;16;18,4;18,3;18,9;13,4;10;5;0,4;9,9
2009;-2,3;0,9;4,4;12,5;16,3;16,9;19,2;20,1;16,3;9,2;5,7;0,1;9,9
2010;-2,4;1,4;5,3;10,3;13;18;21;17,8;13,6;9,2;5,1;-1,1;9,3
2011;-0,4;1,4;7;12,9;15,6;17,8;17,5;19,8;16,1;8,7;4,3;1,1;10,2
2012;-0,5;-3,9;7,6;10,1;15,3;19,1;19;19,9;15;9,7;5,2;0,4;9,7
2013;0,4;-0,7;4,4;11;13,3;17;21,4;20;14,4;11,3;3,6;1,6;9,8
2014;2,6;5;7,9;11,4;13,8;18,6;19,3;17;15,2;12;8,2;2;11,1
2015;1,4;0,7;6,4;10,2;14,7;18,8;22,6;21;13,8;10,1;6,2;1,8;10,6
2016;0,8;4,6;6;11;14,1;18,1;20;19,1;16,7;9,8;5,2;-0,1;10,4
